Source: ACS 1-Year Estimates-Public Use Microdata Sample 2018
Weight used: PWGTP
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Illinois, Idaho, Indiana, Kansas, Iowa, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Mississippi, Minnesota, Missouri, Montana, Nevada, Nebraska, New Hampshire, New Jersey, New York, New Mexico, North Carolina, North Dakota, Oklahoma, Ohio, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","Selected Geographies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Place of birth (Recode)","Total","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Bulgaria","80429","0","35","995","0","12959","1701","1317","697","505","6127","2180","0","0","14327","1208","969","288","501","194","0","1211","3457","1177","1522","62","5163","0","190","1224","41","3706","0","6061","1085","0","1719","0","88","1505","0","52","0","314","2313","435","0","1827","2696","0","480","98"
"Czechoslovakia","19515","282","0","466","0","2770","55","360","0","0","1883","546","4","227","699","31","0","0","0","0","0","401","188","120","470","207","73","100","0","300","0","931","0","5236","0","0","779","0","1080","1055","0","85","0","0","352","174","0","188","417","0","36","0"
"Denmark","30435","0","94","967","116","6837","958","606","33","140","2197","524","223","69","1057","390","0","108","299","0","280","842","961","247","272","142","105","0","20","0","105","1040","0","2534","1621","0","825","49","677","286","91","246","0","181","1719","372","107","937","1799","0","359","0"
"Finland","21802","627","251","189","0","4290","286","283","0","101","2486","302","287","58","586","480","63","0","0","70","613","273","1078","206","470","0","110","397","0","215","0","548","0","1487","209","0","285","207","356","383","0","134","0","68","2435","146","0","601","1042","0","180","0"
"France","253868","2089","300","5319","1107","51233","4482","4032","672","1945","22748","4996","1908","507","5131","2357","434","615","1440","1809","477","5781","11225","4740","2339","731","2723","529","396","2928","1192","7045","528","37269","4818","12","4142","2241","3694","4211","522","2692","0","3037","15126","1108","1699","8154","8795","623","1769","198"
"Germany","1149413","23294","4154","28336","6488","115422","35103","10059","2509","3872","99407","46476","6066","5728","34679","18296","7933","9402","16028","7240","6300","26246","17474","30761","14518","5961","19329","3735","5116","11790","5651","26607","6224","56241","41074","1322","29368","21227","18327","36482","2097","24648","2596","23931","108132","8366","1008","45469","45085","4200","17568","2068"
"Greece","141937","289","0","1601","459","12651","689","4327","944","187","9926","675","59","88","11486","2774","45","108","96","443","649","2590","11670","3110","1005","202","508","110","608","1636","920","8648","349","31508","4773","0","3762","0","165","6682","1261","2564","73","1384","3826","1129","0","3865","807","56","1158","72"
"Hungary","72307","277","0","1909","220","12022","1762","928","430","153","9796","1031","288","0","2060","714","0","213","85","35","175","715","1930","1366","18","0","606","0","122","1659","711","5553","0","11809","1294","0","4194","0","1397","2044","75","191","87","83","2640","96","94","1359","1007","0","1023","136"
"Iceland","11046","0","0","129","0","544","141","192","0","51","1821","106","0","94","26","43","0","0","0","43","90","262","0","111","719","0","148","0","0","300","0","96","0","443","693","893","529","192","321","291","316","733","0","77","215","0","0","858","569","0","0","0"
"Ireland","141434","303","0","1159","535","17729","1342","3337","24","1103","10992","856","724","0","6378","1723","479","71","123","761","147","2406","16679","1743","871","264","402","64","71","542","999","7360","53","33695","2365","0","906","0","1309","7350","516","1371","0","1800","3795","286","952","3526","3122","0","1033","168"
"Italy","394857","592","744","6059","853","40323","4703","16832","445","1852","33925","4549","788","926","18829","2079","460","1459","1518","814","869","5969","20314","9947","1184","1131","3164","335","581","2994","1071","41128","346","94092","6205","68","9363","649","3313","21064","2862","2839","75","2196","11194","717","266","7141","3397","700","1761","172"
